Month,High,Low
Jan,53,34
Feb,57,37
Mar,65,44
Apr,73,51
May,80,60
Jun,87,67
Jul,89,71
Aug,88,70
Sep,83,65
Oct,73,53
Nov,64,43
Dec,55,37
